,SMILES,RT,Speed,i-PrOH_proportion,Literature
130,CC(C)c1cccc2CC[C@@H](CNc3c(C)cc(C)cc3C)Nc12,8.5,1.0,0.1,10.1002/anie.201909919
131,CC(C)c1cccc2CC[C@H](CNc3c(C)cc(C)cc3C)Nc12,7.2,1.0,0.1,10.1002/anie.201909919
132,CCC[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Cl)cc2,6.0,1.0,0.15,10.1039/D1CC01690C
133,CCC[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(Cl)cc2,7.2,1.0,0.15,10.1039/D1CC01690C
134,CCCCC[C@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,9.9,0.8,0.05,10.1002/anie.202004504
135,CCCCC[C@@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,7.2,0.8,0.05,10.1002/anie.202004504
136,CC(C)(C)OC(=O)N1C(=O)[C@@](CC=C)(c2ccccc2)c3cccc(F)c13,8.2,1.0,0.1,10.1002/adsc.201501155
137,CC(C)(C)OC(=O)N1C(=O)[C@](CC=C)(c2ccccc2)c3cccc(F)c13,7.2,1.0,0.1,10.1002/adsc.201501155
138,C[C@@H](C#Cc1ccccc1)c2ccccc2C=O,8.22,0.8,0.1,10.1038/s41467/019/13705/1
139,C[C@H](C#Cc1ccccc1)c2ccccc2C=O,7.25,0.8,0.1,10.1038/s41467/019/13705/1
140,CCCCCC#C[C@H](C)c1ccccc1C(=O)NC(C)(C)C,10.1,0.8,0.02,10.1038/s41467/019/13705/1
141,CCCCCC#C[C@@H](C)c1ccccc1C(=O)NC(C)(C)C,7.25,0.8,0.02,10.1038/s41467/019/13705/1
142,COc1ccc(cc1)C#C[C@H](C)c2ccccc2C(=O)NC(C)(C)C,15.69,0.8,0.1,10.1038/s41467/019/13705/1
143,COc1ccc(cc1)C#C[C@@H](C)c2ccccc2C(=O)NC(C)(C)C,7.3,0.8,0.1,10.1038/s41467/019/13705/1
144,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)C#CC2(CCCCC2)O[Si](C)(C)C(C)(C)C,6.3,0.7,0.03,10.1021/jacs.9b01124
145,C[C@H](CC(=O)NC(C)(C)c1ccccn1)C#CC2(CCCCC2)O[Si](C)(C)C(C)(C)C,7.3,0.7,0.03,10.1021/jacs.9b01124
146,C[C@@H](C#Cc1ccccc1)c2ccsc2C(=O)NC(C)(C)C,7.95,0.8,0.02,10.1038/s41467/019/13705/1
147,C[C@H](C#Cc1ccccc1)c2ccsc2C(=O)NC(C)(C)C,7.37,0.8,0.02,10.1038/s41467/019/13705/1
148,Cc1ccccc1CO[C@H](\C=C\c2ccccc2)c3ccccc3,6.191,1.0,0.02,10.1039/C4CC03920C
149,Cc1ccccc1CO[C@@H](\C=C\c2ccccc2)c3ccccc3,7.381,1.0,0.02,10.1039/C4CC03920C
150,COc1cccc(OC)c1NC[C@@H]2CCc3cccc(C(C)C)c3N2,11.9,1.0,0.1,10.1002/anie.201909919
151,COc1cccc(OC)c1NC[C@H]2CCc3cccc(C(C)C)c3N2,7.4,1.0,0.1,10.1002/anie.201909919
152,CC(C)(C)NC(=O)[C@H](OC(=O)C(C)(C)C)c1cccc(c1)[N+]([O-])=O,6.5,0.8,0.15,10.1021/jacs.5b09117
153,CC(C)(C)NC(=O)[C@@H](OC(=O)C(C)(C)C)c1cccc(c1)[N+]([O-])=O,7.4,0.8,0.15,10.1021/jacs.5b09117
154,C[C@H]\1CC(=O)N(C1=C/c2ccc(F)cc2)C(C)(C)c3ccccn3,8.6,0.8,0.1,10.1002/anie.202004504
