,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2181,2181,CO[P](=O)(OC)C(=[N+]=[N-])[C@@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccc(cc4)C(F)(F)F,11.1,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2182,2182,CO[P](=O)(OC)C(=[N+]=[N-])[C@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccc(cc4)C(F)(F)F,11.8,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2206,2206,CC(C)O[P](=O)(OC(C)C)[C@@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccccc4,11.067,0.5,0.2,10.1021/acs.orglett.0c02487,IC
2207,2207,CC(C)O[P](=O)(OC(C)C)[C@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccccc4,11.889,0.5,0.2,10.1021/acs.orglett.0c02487,IC
2208,2208,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccc(cc1)[N+]([O-])=O)c2c[nH]c3ccccc23,10.7,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2209,2209,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccc(cc1)[N+]([O-])=O)c2c[nH]c3ccccc23,11.9,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2220,2220,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@@]1(C)OC(=Cc2ccccc12)c3ccccc3,13.715,0.5,0.3,10.1021/acs.orglett.9b02864,IC
2221,2221,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@]1(C)OC(=Cc2ccccc12)c3ccccc3,11.93,0.5,0.3,10.1021/acs.orglett.9b02864,IC
2234,2234,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=N/N)\[C@@H](c1ccccc1)c2c[nH]c3ccccc23,10.7,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2235,2235,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=N/N)\[C@H](c1ccccc1)c2c[nH]c3ccccc23,12.0,0.5,0.3,10.1021/acs.orglett.2c00213,IC
2328,2328,COC(=O)C1=CNN=C([C@@H]1c2cccc(F)c2)[P](=O)(OC)OC,15.669,0.5,0.5,10.1002/adsc.201600353,IC
2329,2329,COC(=O)C1=CNN=C([C@H]1c2cccc(F)c2)[P](=O)(OC)OC,12.287,0.5,0.5,10.1002/adsc.201600353,IC
2352,2352,COC(=O)C1=CNN=C([C@@H]1c2ccc(Cl)cc2)[P](=O)(OC)OC,13.364,0.5,0.5,10.1002/adsc.201600353,IC
2353,2353,COC(=O)C1=CNN=C([C@H]1c2ccc(Cl)cc2)[P](=O)(OC)OC,12.353,0.5,0.5,10.1002/adsc.201600353,IC
2376,2376,Fc1ccccc1C(=O)[C@@]2(OCCC[C@@H]2Br)c3ccccc3F,9.83,1.0,0.1,10.1021/ja201794v,IC
2382,2382,Br[C@@H]1CCCO[C@@]1(C(=O)c2ccc3ccccc3c2)c4ccc5ccccc5c4,13.29,1.0,0.05,10.1021/ja201794v,IC
2411,2411,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=[N+]=[N-])C(=O)OC(C)(C)C,12.094,0.5,0.1,10.1039/D0CC03201H,IC
2412,2412,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=[N+]=[N-])C(=O)OC(C)(C)C,12.55,0.5,0.1,10.1039/D0CC03201H,IC
2445,2445,CC(C)(C)OC(=O)[C@](O)(C1CC1)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,11.98,0.5,0.3,10.1021/acs.orglett.7b00128,IC
2446,2446,CC(C)(C)OC(=O)[C@@](O)(C1CC1)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,12.681,0.5,0.3,10.1021/acs.orglett.7b00128,IC
2467,2467,CO[P](=O)(OC)C(=[N+]=[N-])[C@](O)(C(=O)OC(C)(C)C)c1ccc(cc1)C(F)(F)F,11.481,0.5,0.3,10.1021/acs.orglett.7b00128,IC
2468,2468,CO[P](=O)(OC)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)c1ccc(cc1)C(F)(F)F,12.731,0.5,0.3,10.1021/acs.orglett.7b00128,IC
2475,2475,CO[P](=O)(OC)C(=[N+]=[N-])[C@@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccccc4Br,12.2,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2476,2476,CO[P](=O)(OC)C(=[N+]=[N-])[C@H]1N(c2ccccc2)C(=Cc3ccccc13)c4ccccc4Br,12.8,0.5,0.3,10.1021/acs.orglett.1c02433,IC
2489,2489,COC(=O)C1=CNN=C([C@@H]1c2ccc(Br)cc2)[P](=O)(OC)OC,13.629,0.5,0.5,10.1002/adsc.201600353,IC
2490,2490,COC(=O)C1=CNN=C([C@H]1c2ccc(Br)cc2)[P](=O)(OC)OC,12.822,0.5,0.5,10.1002/adsc.201600353,IC
2497,2497,CO[P](=O)(OC)C(=[N+]=[N-])[C@@H](C(=C)C(=O)OC(C)(C)C)c1cccc2ccccc12,13.93,0.5,0.4,10.1002/adsc.201600353,IC
2498,2498,CO[P](=O)(OC)C(=[N+]=[N-])[C@H](C(=C)C(=O)OC(C)(C)C)c1cccc2ccccc12,12.89,0.5,0.4,10.1002/adsc.201600353,IC
2519,2519,COC(=O)C1=CNN=C([C@@H]1c2cccc3ccccc23)[P](=O)(OC(C)(C)C)OC(C)(C)C,13.57,0.5,0.5,10.1002/adsc.201600353,IC
2520,2520,COC(=O)C1=CNN=C([C@H]1c2cccc3ccccc23)[P](=O)(OC(C)(C)C)OC(C)(C)C,12.913,0.5,0.5,10.1002/adsc.201600353,IC
