,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2554,2554,C[C@@]1(CCO)CCCn2ccc(c3ccccc3)c12,13.07,1.0,0.1,10.1016/j.tetlet.2018.09.061,AD
2653,2653,N#CCCCC[C@H](C#N)c1ccc(cc1)c2ccccc2,11.2,1.0,0.2,10.1038/s41467/021/22127/x,AD
2654,2654,N#CCCCC[C@@H](C#N)c1ccc(cc1)c2ccccc2,13.44,1.0,0.2,10.1038/s41467/021/22127/x,AD
2730,2730,C[C@]1(CC=C(COC1=O)c2ccc(Cl)cc2)c3ccccc3,14.98,1.0,0.1,10.1021/jacs.8b12095,AD
2731,2731,C[C@@]1(CC=C(COC1=O)c2ccc(Cl)cc2)c3ccccc3,13.64,1.0,0.1,10.1021/jacs.8b12095,AD
2767,2767,C[C@]1(CC=C(COC1=O)c2ccccc2)c3ccc4ccccc4c3,18.52,1.0,0.078652,10.1021/jacs.8b12095,AD
2768,2768,C[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccc4ccccc4c3,13.72,1.0,0.078652,10.1021/jacs.8b12095,AD
2814,2814,CC(C)C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,15.1,0.5,0.2,10.1002/anie.201804197,AD
2815,2815,CC(C)C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,13.9,0.5,0.2,10.1002/anie.201804197,AD
2830,2830,COc1ccc(CN2CCC(=C\C[C@@](C)(C(=O)OC2=O)c3ccccc3)/c4ccc(cc4)c5ccccc5)cc1,20.69,1.0,0.3,10.1002/anie.202005313,AD
2831,2831,COc1ccc(CN2CCC(=C\C[C@](C)(C(=O)OC2=O)c3ccccc3)/c4ccc(cc4)c5ccccc5)cc1,13.96,1.0,0.3,10.1002/anie.202005313,AD
2840,2840,CC(C)(C)OC(=O)N1O[C@@H](O)C[C@@H]1c2ccc(cc2)[N+]([O-])=O,11.4,1.0,0.1,10.1002/adsc.201501025,AD
2841,2841,Clc1ccc(cc1)c2ccc(cc2)[C@H](CCCCC#N)C#N,12.46,1.0,0.2,10.1038/s41467/021/22127/x,AD
2842,2842,Clc1ccc(cc1)c2ccc(cc2)[C@@H](CCCCC#N)C#N,14.0,1.0,0.2,10.1038/s41467/021/22127/x,AD
2860,2860,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCc3ccc(cc3)[C@H](CCCCC#N)C#N)O[C@@H]4O[C@@]5(C)CC[C@@H]1[C@@]24OO5,15.48,1.0,0.2,10.1038/s41467/021/22127/x,AD
2939,2939,C=C([C@@H](C#C)c1cscc1)C(=O)OCc2ccccc2,13.38,1.0,0.01,10.1021/jacs.7b08207,AD
2940,2940,C=C([C@H](C#C)c1cscc1)C(=O)OCc2ccccc2,14.38,1.0,0.01,10.1021/jacs.7b08207,AD
3005,3005,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3cccc(OC)c3)c4ccccc4)cc1,22.06,1.0,0.162338,10.1002/anie.202005313,AD
3006,3006,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3cccc(OC)c3)c4ccccc4)cc1,14.54,1.0,0.162338,10.1002/anie.202005313,AD
3059,3059,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccccc3)C=C)cc1,16.55,1.0,0.3,10.1002/anie.202005313,AD
3060,3060,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccccc3)C=C)cc1,14.73,1.0,0.3,10.1002/anie.202005313,AD
3061,3061,COc1ccc(CN2CC\C(=C/C[C@@](C)(C(=O)OC2=O)c3ccccc3)c4sccc4)cc1,16.55,1.0,0.3,10.1002/anie.202005313,AD
3062,3062,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccccc3)c4sccc4)cc1,14.73,1.0,0.3,10.1002/anie.202005313,AD
3073,3073,O=C1OCC(=CC[C@@]1(CCCC#C)c2ccccc2)c3ccccc3,17.54,1.0,0.1,10.1021/jacs.8b12095,AD
3074,3074,O=C1OCC(=CC[C@]1(CCCC#C)c2ccccc2)c3ccccc3,14.78,1.0,0.1,10.1021/jacs.8b12095,AD
3087,3087,COc1ccc2[C@H]3OC(=O)C[C@H]3CCc2c1,16.6,1.0,0.1,10.1039/C9QO01047E,AD
3088,3088,COc1ccc2[C@@H]3OC(=O)C[C@H]3CCc2c1,14.8,1.0,0.1,10.1039/C9QO01047E,AD
3132,3132,O=C1OCC(=CC[C@@]1(Cc2ccccc2)c3ccccc3)c4ccccc4,17.48,1.0,0.1,10.1021/jacs.8b12095,AD
3133,3133,O=C1OCC(=CC[C@]1(Cc2ccccc2)c3ccccc3)c4ccccc4,14.93,1.0,0.1,10.1021/jacs.8b12095,AD
3144,3144,COc1cccc(c1)[C@]2(C)CC=C(COC2=O)c3ccccc3,17.19,1.0,0.1,10.1021/jacs.8b12095,AD
3145,3145,COc1cccc(c1)[C@@]2(C)CC=C(COC2=O)c3ccccc3,14.98,1.0,0.1,10.1021/jacs.8b12095,AD
3195,3195,N#CCCCC[C@H](C#N)c1ccccc1,14.49,1.0,0.1,10.1038/s41467/021/22127/x,AD
3196,3196,N#CCCCC[C@@H](C#N)c1ccccc1,15.14,1.0,0.1,10.1038/s41467/021/22127/x,AD
3197,3197,COC(=O)c1ccc(cc1)[C@H](CCCCC#N)C#N,13.59,1.0,0.2,10.1038/s41467/021/22127/x,AD
3198,3198,COC(=O)c1ccc(cc1)[C@@H](CCCCC#N)C#N,15.15,1.0,0.2,10.1038/s41467/021/22127/x,AD
3224,3224,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3cc(C)cc(C)c3,18.14,1.0,0.05,10.1021/ol901572x,AD
3225,3225,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3cc(C)cc(C)c3,15.28,1.0,0.05,10.1021/ol901572x,AD
3270,3270,C[C@]1(CC=C(COC1=O)c2ccc(Br)cc2)c3ccccc3,16.88,1.0,0.1,10.1021/jacs.8b12095,AD
3271,3271,C[C@@]1(CC=C(COC1=O)c2ccc(Br)cc2)c3ccccc3,15.38,1.0,0.1,10.1021/jacs.8b12095,AD
3288,3288,C[C@]1(CC=C(COC1=O)c2cscc2)c3ccccc3,18.6,1.0,0.035294,10.1021/jacs.8b12095,AD
3289,3289,C[C@@]1(CC=C(COC1=O)c2cscc2)c3ccccc3,15.45,1.0,0.035294,10.1021/jacs.8b12095,AD
3306,3306,CC(=O)C[C@H]1CCCCN1C(=O)OC(C)(C)C,13.8,1.0,0.01,10.1002/adsc.201100282,AD
3307,3307,CC(=O)C[C@@H]1CCCCN1C(=O)OC(C)(C)C,15.5,1.0,0.01,10.1002/adsc.201100282,AD
3323,3323,[O-][N+](=O)C[C@@H](CC(=O)c1ccccc1)C(=O)OCc2ccccc2,13.7,1.0,0.2,10.1039/B905033G,AD
